AssetID,Site,Department,WorkGroup,AssetName,PCName,PathWebpage,AssetEnabled,AssetDescription,TransitionTime,ProductionModifier,DisplayMaster,DisplayName,ProductionRate,Zones,JDAAT_StationID,TransitionMode
8,X4,1.Maquinas Laser,Corte laser,BPR02,WDXMXL8341WPO,,1,,1800,1.00,True,,52.00000,,0,True
14,X4,1.Maquinas Laser,Corte laser,BPR07,WDXMXL8212FHX,,1,,1800,1.00,True,,52.00000,,0,True
15,X4,1.Maquinas Laser,Corte laser,BPR09,WDXMXL8010NDT0 WDX5CD93563N8,,1,,1800,1.00,True,,52.00000,,0,True
16,X4,3.Corte Plasma,Corte Robots,Robot Plasma A,,,1,,450,1.00,True,,8.00000,,0,True
18,X4,3.Corte Plasma,Corte Robots,Robot Plasma C,,,1,,450,1.00,True,,8.00000,,0,True
19,X4,4.Linea Pintura,Sub Procesos Pintura,Liberacion Calidad,,,1,,210,1.00,True,,14.00000,,0,True
20,X4,4.Linea Pintura,Pintura,Estación Carga Zona A,  WDXMXL8341WKX1,,1,,468,1.00,True,,7.00000,,0,True
21,X4,4.Linea Pintura,Pintura,Estacion Carga Zona B, WDXMXL8341WN30,,1,,468,1.00,False,,7.00000,,0,True
25,X4,5. Soldadura,Robot,Rollover 2,,,1,,1800,1.00,True,,10.00000,,0,True
28,X4,5. Soldadura,Manual,Rollover 1,,,1,,1800,1.00,True,,10.00000,,0,True
30,X4,5. Soldadura,Manual,Rollover 2,,,1,,1800,1.00,True,,10.00000,,0,True
32,X4,6. Maquinado,SHW,SHW2,WDXMXL8191VJZ,,1,,6000,1.00,True,,.60000,,0,True
33,X4,6. Maquinado,SHW,SHW1,WDXMXL8341WPY ,,1,,600,1.00,True,,.50000,,0,True
34,X4,6. Maquinado,Maquinado,Heller,WDXMXL8010NCD0,,1,,3600,1.00,True,,1.33000,,0,True
35,Des,Laser,Corte Laser (Test),BPR02,,,1,,60,1.00,True,,60.00000,,0,True
37,X4,2.Prensas,Prensa Doblez,BPR012,,,1,,30,1.00,True,,120.00000,,0,True
39,X4,2.Prensas,Prensa Doblez,BPR015,,,1,,30,1.00,True,,120.00000,,0,True
42,X4,2.Prensas,Prensa Doblez,BPR018, WDXMXL8341WPV,,1,,30,1.00,True,,120.00000,,0,True
43,X4,7.Dobladora,Dobladora,BPR039 Thoman,,,1,,180,1.00,True,,20.00000,,0,True
44,X4,7.Dobladora,Dobladora,BPR038 Robitec,,,1,,180,1.00,True,,20.00000,,0,True
45,X4,5. Soldadura,Manual,Casado 1,,,1,,10800,1.00,True,,.00000,,0,True
46,X4,5. Soldadura,Manual,Casado 2,,,1,,10800,1.00,True,,.00000,,0,True
47,X4,5. Soldadura,Manual,Casado 3,,,1,,10800,1.00,True,,.00000,,0,True
50,Componentes,Halcones Soldadura,Hood Guards,Estación 1 (901),,,1,,1200,1.00,True,,2.00000,,0,True
51,X4,5. Soldadura,Robot,Robot OP10A,,,1,,0,1.00,False,,.00000,,0,True
52,X4,5. Soldadura,Robot,Robot OP10B,,,1,,0,1.00,True,,.00000,,0,True
53,X4,5. Soldadura,Robot,Robot OP20A,,,1,,0,1.00,False,,.00000,,0,True
54,X4,5. Soldadura,Robot,Robot OP20B,,,1,,0,1.00,False,,.00000,,0,True
55,X4,5. Soldadura,Robot,Robot OP30,,,1,,0,1.00,False,,.00000,,0,True
56,X4,5. Soldadura,Robot,Robot OP50,,,1,,0,1.00,False,,.00000,,0,True
58,Componentes,Dragones Soldadura,Rolling Baskets,Soldadura final 2,,,1,,800,1.00,True,,.00000,,0,True
61,Componentes,Dragones Soldadura,Rolling Baskets,Soldadura final 4,,,1,,800,1.00,True,,.00000,,0,True
62,Componentes,Dragones Soldadura,Rolling Baskets,Soldadura final 5,,,1,,800,1.00,True,,.00000,,0,True
63,Componentes,Dragones Soldadura,Rolling Baskets,Soldadura final 6,,,1,,800,1.00,True,,.00000,,0,True
64,Componentes,Dragones Soldadura,Rolling Baskets,Punteo Barra,,,1,,800,1.00,True,,.00000,,0,True
66,Componentes,Dragones Soldadura,Rolling Baskets,Punteo Solera,,,1,,800,1.00,True,,.00000,,0,True
67,Componentes,Dragones Soldadura,Rolling Baskets,Punteo Knife,,,1,,800,1.00,True,,20.00000,,0,True
68,Des,Laser,Corte Laser (Test),BPR03,,,1,,60,1.00,True,,52.00000,,0,True
69,Des,Laser,Corte Laser (Test),BPR04,,,1,,60,1.00,True,,52.00000,,0,True
70,Des,Laser,Corte Laser (Test),BPR05,,,1,,60,1.00,True,,52.00000,,0,False
72,Des,Laser,Corte Laser (Test),BPR07,,,1,,0,1.00,False,,.00000,,0,True
73,Componentes,Dragones Soldadura,Hangers,Estacion Reporteo,,,1,,0,1.00,True,,.00000,,0,True
